t_ms,rawX,rawY,rawZ,rawG,sixX,sixY,sixZ,sixG,calX,calY,calZ,calG,calByte,zeroRef
1821,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1822,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1823,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1824,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1825,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1827,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1828,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1829,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1830,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1831,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1832,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1833,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1834,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1835,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1836,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1837,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1838,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1839,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1840,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1841,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1842,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1843,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1844,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1845,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1846,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1847,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1848,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1849,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1851,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1852,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1853,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1854,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1855,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1856,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1858,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1859,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1860,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1861,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1862,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1863,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1864,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1865,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1866,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1867,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1868,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1869,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1870,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1871,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1872,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1873,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1874,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1875,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1876,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1877,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1878,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1879,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1880,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1882,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1883,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1884,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1885,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1886,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1887,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1889,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1890,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1891,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1892,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1893,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1894,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1895,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1896,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1897,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1898,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1899,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1900,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1901,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1902,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1903,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1904,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1905,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1906,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1907,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1908,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1909,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1910,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1911,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1913,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1914,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1915,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1916,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1917,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1918,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1920,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1921,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1922,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1923,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1924,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1925,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1926,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1927,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1928,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1929,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1930,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1931,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1932,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1933,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1934,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1935,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1936,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1937,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1938,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1939,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1940,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1941,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1942,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1944,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1945,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1946,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1947,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1948,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1949,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1951,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1952,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1953,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1954,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1955,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1956,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1958,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1959,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1960,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1961,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1962,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1963,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1964,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1965,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1966,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1967,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1968,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1969,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1970,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1971,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1972,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1973,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1974,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1976,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1977,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1978,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1979,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1980,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1981,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1983,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1984,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1985,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1986,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1987,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1988,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1990,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1991,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1992,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1993,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1994,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1995,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1996,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1997,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1998,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1999,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2000,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2001,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2002,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2003,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2004,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2005,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2006,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2008,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2009,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2010,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2011,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2012,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2013,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2015,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2016,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2017,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2018,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2019,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2020,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2022,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2023,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2024,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2025,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2026,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2027,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2028,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2029,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2030,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2031,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2032,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2033,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2034,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2035,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2036,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2037,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2038,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2039,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2040,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2041,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2042,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2043,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2044,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2046,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2047,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2048,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2049,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2050,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2051,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2053,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2054,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2055,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2056,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2057,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2058,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2059,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2060,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2061,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2062,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2063,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2064,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2065,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2066,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2067,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2068,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2069,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2070,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2071,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2072,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2073,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2074,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2075,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2078,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2078,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2079,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2080,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2081,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2082,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2084,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2085,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2086,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2087,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2088,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2089,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2090,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2091,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2092,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2093,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2094,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2095,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2096,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2097,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2098,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2099,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2100,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2101,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2102,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2103,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2104,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2105,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2106,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2108,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2109,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2110,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2111,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2112,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2113,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2115,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2116,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2117,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2118,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2119,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2120,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2121,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2122,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2123,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2124,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2125,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2126,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2127,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2128,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2129,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2130,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2131,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2132,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2133,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2134,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2135,512,512,384,512,511,512,384,512,512,512,399,512,127,512
2136,512,512,384,512,511,512,384,512,512,512,399,512,127,512
